counter_party,timestamp,type,eth_value,in_frequency,out_frequency,total_eth_received,total_eth_sent
0x90786bf95df3f62c774695b166e6adfc8a0d18a5,2015-10-26 18:57:40,sent,0.0001,0,4,0.0,0.0021
0x3d9e942f183a7e564dd27479081f745a4f081f28,2015-10-26 18:57:54,sent,0.0001,0,2,0.0,0.0007
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-26 18:58:34,sent,0.0001,0,35,0.0,0.015489999999999999
0xb1247665ae0cbba65343cb7382d29b077ec47927,2015-10-26 19:01:09,sent,0.0,0,6,0.0,0.0121
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-26 19:02:44,sent,0.0,0,36,0.0,0.015489999999999999
0x3d9e942f183a7e564dd27479081f745a4f081f28,2015-10-26 19:03:00,sent,0.0,0,3,0.0,0.0007
0x848c87d50533d4b9e5169519335e862a1c917d57,2015-10-26 19:03:51,sent,1e-18,0,1,0.0,1e-18
0x848c87d50533d4b9e5169519335e862a1c917d57,2015-10-26 19:03:51,sent,1e-18,0,2,0.0,2e-18
0x848c87d50533d4b9e5169519335e862a1c917d57,2015-10-26 19:04:58,sent,1e-18,0,3,0.0,3.0000000000000002e-18
0x848c87d50533d4b9e5169519335e862a1c917d57,2015-10-26 19:05:08,sent,0.001,0,4,0.0,0.001000000000000003
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,2015-10-27 20:16:56,received,0.1,6,7,1.35,0.0
0x8e96a2c65e9fa8ef3a620afb6737bc870adefeec,2015-10-28 17:34:07,sent,0.0,0,1,0.0,0.0
0x8e96a2c65e9fa8ef3a620afb6737bc870adefeec,2015-10-28 17:36:32,sent,0.0,0,2,0.0,0.0
0x73629aaa79aa9d44596ced948871b379f3cda2e2,2015-10-30 07:16:22,sent,0.008,0,1,0.0,0.008
0x73629aaa79aa9d44596ced948871b379f3cda2e2,2015-10-30 07:34:06,sent,0.008,0,2,0.0,0.016
0x73629aaa79aa9d44596ced948871b379f3cda2e2,2015-10-30 07:35:58,sent,0.008,0,3,0.0,0.024
0x73629aaa79aa9d44596ced948871b379f3cda2e2,2015-10-30 07:41:34,sent,0.008,0,4,0.0,0.032
0x73629aaa79aa9d44596ced948871b379f3cda2e2,2015-10-30 07:55:26,sent,0.008,0,5,0.0,0.04
0x7e2d0fe0ffdd78c264f8d40d19acb7d04390c6e8,2015-11-14 11:14:46,sent,0.00065,0,11,0.0,0.00122
0x7e2d0fe0ffdd78c264f8d40d19acb7d04390c6e8,2015-11-14 11:15:59,sent,0.0,0,12,0.0,0.00122
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,2016-03-06 18:00:44,sent,0.1,6,8,1.35,0.1
0x2a0d4e479976267408a3a97c620d4efa53ed6321,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0xbef6d2b0aa3f978858664444623cf98a1099a1e6,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
0x8e614a106bbab1288f7dac28f56e4f28882c7535,2016-03-07 02:13:38,sent,0.007,0,1,0.0,0.007
