counter_party,timestamp,in_frequency,out_frequency,total_eth_received,total_eth_sent
0x083cd10290c3c486344cf629cabe852626949ff6,2023-09-17 10:55:59,1,0,7.74e-07,0.0
0x0845bfefbbe8aab75d5aa43a415837fa6ff228f4,2023-09-14 16:07:35,1,0,1.43e-07,0.0
0x08667a15fb77d11de6068448bf10c9300fcb88f8,2023-09-30 17:02:47,1,0,9.86e-07,0.0
0x089e5e1dbe821c1556c434248584dc4c53c31735,2023-09-18 01:28:47,1,0,8.23e-07,0.0
0x089f98432222a5d8c52e999ed24a4b36c5a78e71,2023-04-16 22:51:23,1,0,0.08,0.0
0x08c0079782e476c264cba08f2df07d96a11eb6e3,2023-09-16 18:02:59,1,0,3.66e-07,0.0
0x08c4bdf4e72b7d76648943723747ee024ddb6149,2023-09-30 20:55:35,1,0,2.26e-07,0.0
0x08cbff9b7429a26be552eb4632150ce56867335e,2023-08-09 07:29:35,1,0,0.0,0.0
0x08eb8a61fe03afc1efb1634c0f6de619c65fde1e,2023-09-20 16:23:59,1,0,9.36e-07,0.0
0x092af50bb5d689841c26bf2dc6132949d28674a8,2022-09-15 12:21:35,1,0,0.0,0.0
0x0931b3ee5ffebe506b91c0d35f4f59d0d089a38f,2023-10-16 13:49:35,1,0,0.0,0.0
0x094802b20e219b3abeb958acf03003564cdce79b,2023-07-12 05:53:47,2,0,1.1022e-10,0.0
0x095352e2509afe92f6c8d52a61cc4b02a44f114d,2023-12-08 00:32:35,1,0,0.001,0.0
0x09e2918e0d97f9b55f6b89ead97561190d152fcf,2023-04-30 15:24:23,2,0,0.0011,0.0
0x0a0c9464cc6c4952dc8cca2ff22103f4071f299e,2023-09-25 09:58:11,2,0,4.6e-07,0.0
0x0a57476eef15ece6243109a8c9eee90bf550fc81,2023-05-16 12:14:47,1,0,5e-06,0.0
0x0a5e9a02828d20500d24a49c8500cfd6790bcdf1,2023-08-19 03:19:47,1,0,1e-05,0.0
0x0acd33ddeb33ea8a16cb5217c91b6a5fb55297ab,2023-02-06 09:02:23,1,0,1.246e-05,0.0
0x0aef31fd5caf041149b3179739566ddad9d52095,2022-10-05 08:01:47,1,0,1e-08,0.0
